vehicle_count,avg_speed,time_of_day,weather,traffic_level
157,70,10,2,High
80,59,10,1,Medium
79,36,23,1,Medium
72,41,9,0,Medium
14,27,17,1,Low
134,41,1,1,High
164,26,22,0,High
99,13,15,0,Medium
18,33,4,2,Low
93,36,23,1,Medium
120,71,23,0,Medium
101,68,2,0,Medium
145,30,23,2,High
133,20,14,2,High
13,50,15,2,Low
192,41,2,2,High
34,77,19,2,Low
111,78,2,2,Medium
86,58,19,2,Medium
130,48,17,0,High
163,25,0,2,High
67,13,2,2,Medium
139,52,8,2,High
137,52,10,0,High
68,65,19,2,Medium
21,42,22,1,Low
87,43,4,2,Medium
34,24,23,1,Low
135,64,16,0,High
155,43,10,1,High
90,42,10,1,Medium
145,77,21,2,High
147,42,22,0,High
98,12,1,0,Medium
41,69,21,0,Low
157,69,14,0,High
137,23,14,1,High
19,17,6,1,Low
130,73,4,1,High
145,30,1,2,High
145,28,5,0,High
61,61,2,1,Medium
123,51,6,0,High
46,54,9,0,Low
106,24,9,1,Medium
115,25,4,0,Medium
122,48,20,0,High
197,51,23,0,High
58,61,13,0,Low
32,48,0,0,Low
72,44,5,2,Medium
55,51,0,1,Low
175,50,16,0,High
81,40,9,2,Medium
162,36,2,1,High
151,64,7,2,High
35,20,23,1,Low
107,25,15,1,Medium
28,62,17,2,Low
193,61,16,2,High
82,41,10,0,Medium
82,65,13,0,Medium
72,78,19,2,Medium
193,11,1,2,High
112,75,9,0,Medium
72,36,14,1,Medium
134,67,18,2,High
85,40,16,1,Medium
107,32,1,2,Medium
143,73,13,1,High
89,72,5,1,Medium
14,55,14,0,Low
39,55,14,0,Low
195,78,18,0,High
124,75,6,1,High
180,14,0,0,High
160,26,22,2,High
40,14,21,0,Low
160,18,9,1,High
180,52,8,1,High
57,32,10,2,Low
34,57,21,2,Low
185,14,14,1,High
21,47,3,0,Low
79,60,22,0,Medium
140,12,19,2,High
161,15,5,1,High
54,55,14,0,Low
85,14,7,1,Medium
148,55,12,1,High
18,29,7,0,Low
137,55,9,2,High
158,19,11,1,High
182,19,1,1,High
78,43,4,1,Medium
107,66,20,0,Medium
13,35,6,2,Low
52,22,12,0,Low
142,41,9,1,High
55,66,11,1,Low
198,35,20,0,High
44,36,1,0,Low
86,39,13,2,Medium
158,76,6,1,High
22,47,3,2,Low
34,72,9,0,Low
107,23,7,1,Medium
93,50,14,0,Medium
133,11,10,0,High
165,75,7,2,High
64,29,19,2,Medium
108,25,20,0,Medium
194,73,20,0,High
67,22,16,0,Medium
27,25,1,2,Low
13,33,19,1,Low
121,27,13,1,High
79,76,5,1,Medium
76,12,7,0,Medium
156,77,17,0,High
151,42,8,2,High
27,20,23,0,Low
54,64,16,1,Low
159,15,12,1,High
141,36,1,2,High
196,26,9,0,High
168,36,21,1,High
27,30,10,0,Low
69,56,20,2,Medium
70,10,18,1,Medium
127,61,12,0,High
141,56,13,1,High
103,64,17,0,Medium
114,40,7,1,Medium
180,55,7,1,High
101,44,4,0,Medium
117,78,14,1,Medium
118,25,6,1,Medium
154,72,22,1,High
113,66,0,1,Medium
162,37,13,0,High
112,33,5,0,Medium
164,19,2,0,High
148,64,11,0,High
162,70,1,0,High
184,50,3,2,High
73,72,19,1,Medium
46,27,14,1,Low
189,71,10,1,High
171,32,3,1,High
148,32,22,2,High
190,33,12,0,High
77,78,18,1,Medium
93,47,12,0,Medium
67,55,2,0,Medium
85,44,3,1,Medium
15,72,5,2,Low
165,24,7,1,High
159,15,23,1,High
76,38,22,2,Medium
158,68,2,0,High
132,22,14,1,High
14,36,6,0,Low
11,34,18,2,Low
100,58,19,1,Medium
180,70,10,1,High
25,79,0,2,Low
112,60,16,1,Medium
131,71,18,2,High
174,28,1,1,High
124,61,21,0,High
170,57,7,2,High
66,53,22,1,Medium
189,49,21,2,High
166,42,7,2,High
145,68,6,0,High
62,40,5,2,Medium
84,63,11,0,Medium
135,25,22,2,High
152,49,10,2,High
29,35,21,0,Low
59,72,22,2,Low
34,17,19,2,Low
123,14,22,0,High
198,45,23,0,High
66,59,1,1,Medium
142,13,14,2,High
175,16,1,2,High
40,47,3,0,Low
109,39,6,0,Medium
174,11,7,0,High
186,32,5,0,High
109,67,1,1,Medium
59,38,10,1,Low
31,63,7,0,Low
71,52,8,0,Medium
85,53,15,2,Medium
118,24,13,0,Medium
83,78,7,1,Medium
31,22,13,1,Low
195,49,4,1,High
96,36,10,0,Medium
100,53,17,1,Medium
58,26,11,0,Low
140,26,19,1,High
153,67,19,0,High
72,25,2,2,Medium
14,41,11,2,Low
191,71,21,1,High
168,22,12,1,High
193,32,22,1,High
144,16,10,1,High
23,14,9,2,Low
25,21,6,0,Low
53,69,7,1,Low
137,16,6,2,High
124,60,8,0,High
115,75,5,1,Medium
189,46,3,1,High
124,39,20,2,High
120,57,9,1,Medium
185,11,13,2,High
138,20,6,2,High
150,39,6,1,High
91,32,15,1,Medium
51,67,10,1,Low
140,34,13,0,High
152,33,21,2,High
190,59,19,1,High
167,28,15,0,High
147,78,17,0,High
56,65,8,0,Low
22,53,20,0,Low
154,32,7,0,High
44,72,21,2,Low
53,75,8,0,Low
195,46,15,2,High
194,39,5,2,High
46,29,1,2,Low
13,38,3,1,Low
175,10,19,1,High
58,25,17,0,Low
84,70,13,0,Medium
63,28,10,1,Medium
81,28,15,2,Medium
99,76,2,1,Medium
32,18,5,2,Low
12,51,5,0,Low
110,28,18,1,Medium
59,76,19,2,Low
156,75,3,1,High
186,73,13,2,High
13,73,14,1,Low
72,13,4,1,Medium
176,48,8,2,High
54,24,5,2,Low
171,44,15,2,High
100,61,17,0,Medium
105,16,22,2,Medium
48,34,3,0,Low
140,39,21,1,High
92,33,6,1,Medium
189,15,15,1,High
76,12,10,0,Medium
143,58,11,1,High
100,65,8,1,Medium
52,52,6,0,Low
10,68,8,1,Low
104,71,22,2,Medium
133,20,16,2,High
49,53,4,1,Low
148,52,18,2,High
193,17,3,1,High
144,66,20,2,High
42,70,20,2,Low
23,18,17,1,Low
119,47,9,1,Medium
161,57,17,1,High
42,34,14,1,Low
132,36,9,1,High
85,22,19,1,Medium
16,53,21,0,Low
168,79,11,2,High
50,24,6,2,Low
163,33,3,1,High
62,75,11,2,Medium
119,42,10,2,Medium
87,62,0,1,Medium
139,63,14,1,High
20,74,6,0,Low
11,41,4,0,Low
164,61,4,1,High
19,17,19,0,Low
129,14,4,1,High
144,34,6,0,High
144,63,10,0,High
60,52,16,0,Low
85,20,23,1,Medium
123,35,5,2,High
69,19,19,0,Medium
74,27,20,1,Medium
106,48,5,0,Medium
160,30,5,0,High
104,29,8,0,Medium
79,20,22,1,Medium
199,20,5,1,High
62,41,2,0,Medium
137,65,13,2,High
165,38,10,0,High
108,74,0,0,Medium
112,43,19,2,Medium
174,45,2,2,High
169,33,12,0,High
80,56,3,2,Medium
167,49,16,1,High
97,45,21,1,Medium
59,38,8,1,Low
17,45,23,1,Low
140,36,16,0,High
52,71,22,1,Low
159,43,21,2,High
80,26,8,1,Medium
173,56,16,2,High
13,50,4,2,Low
149,50,1,2,High
37,40,23,2,Low
90,37,21,0,Medium
72,25,8,0,Medium
188,70,22,1,High
139,56,9,2,High
59,20,9,0,Low
98,52,22,1,Medium
81,65,5,1,Medium
102,52,17,2,Medium
135,31,18,2,High
66,33,6,1,Medium
91,23,11,0,Medium
173,63,14,1,High
51,49,20,1,Low
77,58,9,0,Medium
36,48,14,1,Low
125,64,17,0,High
181,62,6,2,High
180,21,7,2,High
150,71,22,2,High
167,12,13,2,High
18,42,17,0,Low
192,53,12,2,High
90,41,11,2,Medium
39,35,21,1,Low
48,41,16,2,Low
99,40,23,1,Medium
178,32,22,2,High
80,49,2,1,Medium
64,49,0,0,Medium
101,72,18,2,Medium
172,68,20,1,High
188,73,11,0,High
76,16,1,1,Medium
43,51,7,1,Low
173,13,23,1,High
166,23,17,0,High
10,73,3,0,Low
37,30,15,0,Low
70,71,8,2,Medium
12,16,10,2,Low
46,64,11,2,Low
98,54,2,2,Medium
70,38,18,0,Medium
90,66,1,1,Medium
179,32,2,0,High
142,67,18,0,High
124,42,13,1,High
30,46,3,2,Low
139,65,2,0,High
27,22,3,0,Low
42,55,3,2,Low
46,53,16,1,Low
155,61,21,0,High
170,18,16,2,High
21,22,5,1,Low
38,22,12,1,Low
29,51,19,2,Low
132,68,5,1,High
89,79,10,1,Medium
157,17,17,2,High
69,30,12,2,Medium
167,47,5,0,High
133,17,19,1,High
102,21,6,0,Medium
147,23,2,1,High
90,25,11,0,Medium
128,36,6,2,High
85,42,8,2,Medium
85,51,9,1,Medium
121,66,11,0,High
137,75,21,1,High
103,40,7,0,Medium
106,51,12,1,Medium
134,66,17,2,High
22,11,2,2,Low
86,40,2,2,Medium
118,33,10,0,Medium
103,19,16,1,Medium
108,57,13,1,Medium
29,25,10,2,Low
10,75,17,2,Low
187,69,15,2,High
11,57,9,2,Low
131,14,14,1,High
58,64,2,2,Low
179,74,21,1,High
183,58,9,0,High
106,13,1,2,Medium
115,40,15,0,Medium
189,71,11,1,High
51,40,18,1,Low
58,46,0,1,Low
26,31,23,2,Low
171,79,19,0,High
61,31,4,1,Medium
16,35,6,1,Low
198,18,3,2,High
178,59,16,2,High
180,31,1,2,High
110,42,14,2,Medium
123,35,21,2,High
145,33,10,1,High
17,52,1,0,Low
29,61,2,1,Low
95,50,6,0,Medium
120,44,6,0,Medium
103,75,11,0,Medium
24,30,21,2,Low
38,62,22,1,Low
58,75,19,0,Low
18,36,3,0,Low
159,51,16,0,High
157,33,22,0,High
58,62,5,0,Low
131,23,10,0,High
150,27,0,1,High
103,50,9,1,Medium
127,34,21,2,High
55,41,17,0,Low
157,58,11,0,High
97,66,12,2,Medium
105,56,6,0,Medium
68,52,3,0,Medium
160,57,19,2,High
178,73,10,1,High
30,47,1,1,Low
104,44,17,1,Medium
141,64,0,1,High
110,51,12,2,Medium
191,34,3,2,High
161,53,19,2,High
84,28,15,1,Medium
137,21,1,0,High
68,54,10,1,Medium
177,27,11,2,High
76,78,6,1,Medium
100,37,22,1,Medium
74,32,14,2,Medium
26,18,3,0,Low
68,71,0,2,Medium
20,74,21,0,Low
49,42,17,1,Low
122,52,1,1,High
161,26,19,1,High
70,19,5,1,Medium
108,64,0,2,Medium
96,25,23,1,Medium
199,47,22,0,High
108,65,21,2,Medium
20,23,8,1,Low
145,62,2,2,High
169,46,15,2,High
67,32,12,2,Medium
149,45,22,2,High
10,27,22,1,Low
131,28,8,0,High
141,60,5,2,High
182,47,13,1,High
42,15,23,1,Low
197,70,6,1,High
144,57,7,2,High
139,60,17,2,High
89,14,20,0,Medium
61,19,17,1,Medium
53,68,18,2,Low
143,24,2,1,High
156,47,8,2,High
37,47,12,0,Low
161,38,0,0,High
28,63,18,1,Low
32,79,20,0,Low
29,44,16,2,Low
152,15,5,2,High
114,14,21,0,Medium
158,28,9,2,High
185,24,5,2,High
58,15,2,0,Low
116,54,1,0,Medium
106,51,14,0,Medium
25,37,15,1,Low
63,68,4,2,Medium
34,69,2,0,Low
72,26,22,2,Medium
16,68,0,0,Low
124,41,7,0,High
63,77,8,2,Medium
74,23,3,0,Medium
95,14,0,1,Medium
141,65,10,0,High
169,40,3,2,High
52,44,0,2,Low
177,40,2,2,High
90,45,11,1,Medium
169,44,19,0,High
113,69,2,1,Medium
117,32,9,2,Medium
172,53,16,1,High
64,63,13,2,Medium
62,26,13,2,Medium
107,19,21,0,Medium
111,71,20,2,Medium
120,64,12,0,Medium
152,46,4,2,High
127,46,14,2,High
183,41,4,1,High
104,79,4,2,Medium
22,29,16,2,Low
157,64,5,2,High
66,55,15,1,Medium
46,16,22,1,Low
30,37,16,2,Low
125,72,23,2,High
46,63,18,1,Low
97,77,16,0,Medium
178,16,21,2,High
37,42,4,1,Low
78,73,23,1,Medium
102,37,22,2,Medium
89,38,15,2,Medium
28,43,10,0,Low
122,60,3,0,High
139,42,11,1,High
25,14,7,1,Low
174,33,20,1,High
104,36,14,2,Medium
26,26,11,1,Low
76,74,0,2,Medium
152,54,11,1,High
154,76,12,1,High
50,37,16,1,Low
17,12,13,2,Low
27,68,0,1,Low
171,31,17,2,High
92,50,8,2,Medium
26,59,21,2,Low
91,51,10,2,Medium
82,78,13,0,Medium
179,60,11,0,High
138,70,22,2,High
11,47,20,2,Low
174,12,23,2,High
35,55,3,2,Low
175,31,23,0,High
76,29,2,1,Medium
49,44,20,2,Low
52,53,21,2,Low
100,41,11,0,Medium
48,30,1,0,Low
170,31,5,1,High
90,60,12,0,Medium
10,55,8,2,Low
106,34,21,0,Medium
54,73,15,2,Low
109,48,10,2,Medium
40,53,12,2,Low
182,15,1,1,High
86,13,5,0,Medium
129,72,4,1,High
12,74,0,0,Low
192,12,21,1,High
189,31,9,2,High
12,27,22,2,Low
66,48,19,2,Medium
182,43,23,0,High
49,29,10,0,Low
78,46,4,0,Medium
67,54,11,0,Medium
162,43,19,0,High
10,51,10,2,Low
180,44,4,1,High
68,50,18,2,Medium
22,63,16,1,Low
149,42,8,0,High
26,74,6,1,Low
11,47,17,2,Low
41,17,3,1,Low
198,16,22,1,High
22,22,5,0,Low
171,12,2,1,High
165,77,12,0,High
83,70,15,1,Medium
53,38,10,1,Low
16,38,8,2,Low
92,21,4,2,Medium
100,46,7,2,Medium
61,73,12,0,Medium
51,60,21,0,Low
175,26,15,0,High
24,60,18,1,Low
17,39,13,0,Low
111,65,18,0,Medium
173,37,5,1,High
29,25,6,2,Low
46,23,19,1,Low
104,76,23,1,Medium
145,41,2,0,High
61,22,21,1,Medium
167,49,1,2,High
149,21,1,2,High
25,45,8,2,Low
79,37,4,0,Medium
156,62,20,0,High
112,77,0,1,Medium
134,56,14,2,High
161,12,17,1,High
177,53,23,0,High
126,54,5,0,High
88,52,7,0,Medium
132,17,16,2,High
199,61,7,1,High
148,70,14,2,High
15,63,8,2,Low
59,20,10,2,Low
193,32,15,2,High
117,49,1,0,Medium
172,39,0,1,High
49,74,11,2,Low
118,52,22,1,Medium
128,30,21,2,High
108,65,20,0,Medium
141,13,5,0,High
89,43,17,1,Medium
16,33,4,1,Low
171,31,4,0,High
52,37,23,2,Low
87,35,6,1,Medium
183,26,6,0,High
56,32,5,1,Low
172,27,21,0,High
89,62,21,2,Medium
89,24,12,0,Medium
160,23,16,0,High
148,65,11,0,High
75,73,0,1,Medium
148,61,8,2,High
42,28,23,1,Low
33,70,16,1,Low
31,64,5,2,Low
185,27,18,0,High
123,36,8,2,High
11,15,8,0,Low
41,16,19,2,Low
39,58,18,1,Low
90,24,13,1,Medium
56,75,17,2,Low
86,37,10,2,Medium
187,63,5,2,High
46,41,1,2,Low
12,28,3,0,Low
105,16,10,1,Medium
193,60,12,2,High
19,20,20,1,Low
154,77,18,1,High
116,22,19,1,Medium
41,67,6,0,Low
56,17,22,0,Low
29,17,0,1,Low
131,76,1,1,High
198,16,9,0,High
141,46,13,0,High
52,75,16,2,Low
87,53,10,1,Medium
49,22,23,0,Low
137,65,5,0,High
140,51,18,2,High
76,18,16,2,Medium
190,75,23,1,High
158,43,4,2,High
91,62,23,1,Medium
186,29,7,1,High
12,40,13,1,Low
194,55,11,0,High
60,56,9,0,Low
67,58,12,2,Medium
65,58,20,1,Medium
106,56,9,1,Medium
94,43,16,1,Medium
22,18,13,0,Low
26,13,9,2,Low
187,31,11,2,High
176,49,5,2,High
183,65,9,1,High
11,38,22,0,Low
50,66,0,0,Low
22,14,5,1,Low
149,79,12,0,High
55,71,2,1,Low
193,21,8,0,High
78,66,3,1,Medium
53,33,2,1,Low
51,71,2,2,Low
44,24,19,2,Low
189,21,9,2,High
62,71,7,2,Medium
144,34,3,2,High
71,49,11,2,Medium
132,42,23,1,High
113,53,7,1,Medium
16,42,7,1,Low
100,45,20,1,Medium
17,30,13,0,Low
135,21,19,0,High
43,51,16,1,Low
109,24,4,1,Medium
151,79,1,2,High
99,11,23,0,Medium
183,67,1,1,High
182,44,13,0,High
14,62,21,2,Low
171,41,5,2,High
121,58,11,1,High
95,57,23,0,Medium
32,40,9,1,Low
187,75,21,0,High
37,64,10,1,Low
183,10,10,0,High
43,15,20,2,Low
165,45,23,2,High
112,54,16,1,Medium
13,64,15,2,Low
60,42,0,0,Low
155,28,22,2,High
71,66,14,0,Medium
95,75,16,2,Medium
90,48,8,0,Medium
34,79,22,1,Low
36,33,13,0,Low
13,42,16,2,Low
28,14,4,0,Low
49,13,21,0,Low
63,58,11,1,Medium
189,49,17,1,High
14,16,5,0,Low
193,12,8,1,High
130,51,7,1,High
83,68,4,0,Medium
54,48,23,2,Low
144,10,10,0,High
51,11,19,0,Low
100,23,6,2,Medium
140,54,15,0,High
65,76,16,0,Medium
138,77,14,0,High
59,49,11,2,Low
114,28,10,1,Medium
106,21,7,2,Medium
159,34,19,2,High
101,33,3,1,Medium
55,50,22,0,Low
159,48,5,2,High
146,17,3,0,High
99,62,9,0,Medium
34,13,11,1,Low
79,76,10,0,Medium
179,46,17,0,High
114,53,20,1,Medium
82,49,0,0,Medium
107,17,7,2,Medium
135,69,16,1,High
175,34,19,2,High
100,57,7,2,Medium
116,72,21,2,Medium
183,30,7,2,High
192,39,8,1,High
135,25,10,0,High
149,48,3,2,High
18,27,21,1,Low
114,17,20,0,Medium
133,75,8,0,High
31,18,9,1,Low
73,46,21,1,Medium
87,63,12,0,Medium
75,14,9,2,Medium
147,32,18,2,High
67,63,16,0,Medium
121,34,23,2,High
11,38,1,1,Low
199,21,11,2,High
72,56,17,2,Medium
111,25,1,2,Medium
14,49,10,1,Low
49,79,12,2,Low
127,54,15,0,High
24,33,11,1,Low
73,59,11,1,Medium
128,36,17,1,High
32,16,21,2,Low
166,76,18,0,High
194,21,17,0,High
123,11,21,0,High
160,37,11,0,High
35,56,6,0,Low
126,38,22,1,High
96,46,16,1,Medium
10,63,11,2,Low
125,79,3,0,High
172,30,10,1,High
31,48,8,1,Low
75,55,17,2,Medium
69,27,23,2,Medium
49,41,2,2,Low
32,52,0,1,Low
18,43,20,2,Low
35,29,2,0,Low
111,53,23,1,Medium
72,64,19,2,Medium
94,12,16,0,Medium
50,28,23,1,Low
144,75,1,0,High
161,27,20,2,High
164,69,8,1,High
37,61,2,0,Low
54,52,16,1,Low
40,32,7,1,Low
168,22,11,0,High
13,12,22,0,Low
165,54,13,1,High
181,24,23,0,High
147,72,23,2,High
149,66,20,2,High
154,10,21,1,High
64,34,1,2,Medium
177,41,21,2,High
191,71,21,0,High
83,72,9,2,Medium
156,51,7,2,High
48,78,1,2,Low
46,23,8,1,Low
122,11,1,2,High
28,21,4,1,Low
139,17,6,2,High
196,62,12,2,High
108,36,6,1,Medium
192,48,9,0,High
36,63,4,2,Low
127,57,22,0,High
49,69,19,2,Low
41,31,4,2,Low
155,69,11,1,High
112,43,23,0,Medium
30,43,5,1,Low
148,55,17,1,High
143,17,8,2,High
175,27,19,1,High
123,21,23,0,High
115,74,18,2,Medium
144,23,8,2,High
166,78,10,0,High
103,48,14,1,Medium
157,64,21,2,High
103,71,12,2,Medium
15,42,5,2,Low
178,57,1,1,High
184,54,13,0,High
188,77,14,1,High
55,46,7,1,Low
129,29,3,1,High
152,59,9,1,High
47,48,2,2,Low
51,62,2,2,Low
148,44,6,1,High
153,53,18,0,High
187,48,4,2,High
192,44,4,0,High
173,59,22,2,High
27,32,3,0,Low
48,25,5,2,Low
175,49,18,0,High
119,69,18,0,Medium
154,52,6,0,High
10,77,12,1,Low
111,71,20,0,Medium
183,44,22,0,High
49,29,1,2,Low
112,54,17,0,Medium
94,16,7,1,Medium
139,31,1,2,High
181,56,7,1,High
93,36,22,0,Medium
42,51,12,1,Low
32,18,17,0,Low
27,55,21,0,Low
170,25,15,0,High
75,29,16,2,Medium
15,25,4,2,Low
105,14,1,1,Medium
129,58,10,0,High
48,66,18,2,Low
112,31,15,1,Medium
175,74,8,1,High
80,21,3,1,Medium
101,32,12,0,Medium
22,23,13,0,Low
160,40,3,0,High
136,29,23,1,High
170,49,17,0,High
29,14,0,1,Low
88,32,7,0,Medium
111,19,23,2,Medium
181,54,17,0,High
24,63,3,0,Low
181,23,7,2,High
39,12,20,1,Low
51,21,12,2,Low
53,21,18,0,Low
117,58,22,0,Medium
88,74,12,0,Medium
21,60,2,2,Low
197,39,7,2,High
94,27,18,1,Medium
157,10,9,2,High
191,20,22,1,High
129,40,2,1,High
24,60,11,0,Low
34,27,8,2,Low
45,31,20,0,Low
83,35,21,1,Medium
84,30,11,2,Medium
141,61,4,2,High
66,65,10,2,Medium
85,70,7,1,Medium
177,39,5,0,High
46,40,9,2,Low
13,25,21,0,Low
126,27,2,2,High
132,56,22,0,High
130,62,13,2,High
120,70,3,0,Medium
100,70,18,0,Medium
102,19,18,0,Medium
107,39,6,2,Medium
193,12,8,1,High
184,72,4,2,High
79,55,12,0,Medium
77,52,17,2,Medium
32,24,14,1,Low
41,35,14,0,Low
51,35,9,0,Low
146,36,6,1,High
147,30,8,0,High
123,66,16,0,High
177,57,7,1,High
42,77,0,1,Low
110,60,16,2,Medium
175,48,8,1,High
75,61,14,2,Medium
164,12,11,0,High
21,26,9,2,Low
47,32,22,1,Low
175,38,17,0,High
85,29,4,2,Medium
43,67,14,1,Low
35,36,3,1,Low
168,35,17,0,High
112,70,13,2,Medium
26,58,23,2,Low
68,39,12,1,Medium
144,38,3,2,High
20,54,3,2,Low
33,25,12,0,Low
151,22,2,2,High
63,14,1,2,Medium
67,25,13,1,Medium
85,20,0,0,Medium
134,71,7,0,High
42,28,15,1,Low
32,18,10,1,Low
73,18,20,2,Medium
29,54,10,0,Low
197,20,19,2,High
20,11,10,2,Low
126,20,1,0,High
164,35,7,2,High
24,48,18,1,Low
82,58,13,2,Medium
196,51,21,0,High
135,10,3,2,High
174,25,14,1,High
93,21,11,2,Medium
20,43,3,1,Low
108,66,18,1,Medium
169,17,22,1,High
176,19,22,0,High
26,42,9,2,Low
46,31,11,2,Low
83,67,5,2,Medium
160,10,11,2,High
121,17,15,2,High
157,14,22,0,High
56,23,9,1,Low
31,42,12,0,Low
134,77,23,2,High
146,27,13,0,High
198,59,19,2,High
41,75,13,1,Low
97,60,4,1,Medium
186,72,5,2,High
114,78,17,2,Medium
197,15,8,1,High
171,12,0,1,High
127,55,2,0,High
102,19,21,0,Medium
126,56,2,1,High
173,32,8,2,High
192,40,15,2,High
72,41,20,0,Medium
136,50,7,1,High
18,12,4,2,Low
196,35,18,2,High
159,55,5,2,High
